2	 0.0000000	
6	 1.388948	
4	 1.6422256	
2	 3.7858976	
4	 3.8166920	
6	 4.837701	
4	 4.973503	
10	 5.072089	
2	 5.076382	
8	 5.102380	
6	 5.153147	
4	 5.244851	
2	 5.3483347	
8	 5.395050	
6	 5.421363	
6	 5.505682	
4	 5.522772	
2	 5.568835	
8	 5.574734	
2	 5.681072	
4	 5.688311	
4	 5.724709	
6	 5.777459	
4	 6.1227048	
2	 6.1227444	
4	 6.1911751	
6	 6.1920251	
2	 6.5524100	
4	 6.7923583	
2	 6.8225729	
4	 6.8671954	
6	 6.8676455	
8	 6.8719921	
6	 6.8723597	
8	 6.946821	
4	 6.985719	
6	 7.023880	
2	 7.0263552	
2	 7.119078	
4	 7.1778165	
6	 7.1780681	
6	 7.1793195	
8	 7.1802166	
10	 7.1816766	
8	 7.1816766	
4	 7.1847067	
6	 7.205883	
2	 7.236296	
2	 7.261618	
4	 7.276745	
4	 7.345981	
6	 7.3461333	
8	 7.347225	
6	 7.3472874	
10	 7.3481358	
8	 7.3481358	
22	 7.3483475	
4	 7.349162	
2	 7.355080	
2	 7.395393	
4	 7.447174	
6	 7.447282	
4	 7.447752	
8	 7.4479137	
6	 7.4479333	
10	 7.4485061	
8	 7.4485061	
22	 7.448643	
2	 7.449569	
6	 7.512670	
4	 7.512763	
6	 7.512825	
4	 7.512835	
2	 7.513590	
4	 7.557620	
4	 7.557694	
6	 7.557744	
2	 7.557999	
4	 7.589709	
6	 7.58984	
2	 7.589923	
4	 7.613467	
2	 7.613558	
4	 7.631530	
2	 7.631562	
4	 7.645592	
2	 7.64560	
4	 7.656732	
2	 7.65674	
6	 7.665725	
6	 7.673078	
6	 7.679171	
2	 7.68153	
6	 7.684278	
2	 7.68625	
6	 7.688595	
2	 7.69026	
6	 7.692282	
2	 7.69372	
6	 7.695452	
2	 7.696685	
6	 7.698200	
2	 7.69928	
6	 7.700600	
2	 7.701571	
6	 7.702704	
2	 7.70352	
6	 7.704557	
2	 7.705299	
6	 7.706209	
2	 7.706852	
6	 7.707680	
2	 7.708270	
6	 7.708993	
2	 7.709521	
6	 7.710172	
2	 7.710647	
6	 7.711242	
2	 7.711660	
6	 7.712206	
2	 7.712594	
6	 7.713079	
2	 7.71342	
6	 7.713867	
2	 7.71420	
6	 7.714586	
2	 7.71485	
6	 7.715254	
2	 7.71551	
6	 7.715868	
2	 7.71609	
6	 7.716429	
2	 7.71662	
6	 7.716944	
2	 7.71712	
6	 7.717424	
6	 7.717866	
6	 7.718274	
6	 7.718654	
6	 7.719014	
6	 7.719345	
6	 7.719654	
6	 7.719947	
6	 7.720211	
6	 7.720471	
6	 7.720715	
6	 7.72093	
6	 7.72114	
6	 7.72133	
6	 7.72154	
6	 7.72171	
6	 7.72187	
