Configuration	Term	J	g	Level (eV)	Uncertainty (eV)	Lande	Leading percentages	Reference
4f^105d6s^2	°	^13/_2	14.0	4.296494				L3974
4f^105d6s^2	°	^9/_2	10.0	4.344499		1.139		L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_1/2	(8,^1/_2)	^15/_2	16.0	4.506146				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_1/2	(8,^1/_2)	^17/_2	18.0	4.509014				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_1/2	(7,^1/_2)	^13/_2	14.0	4.545749				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_3/2	(8,^3/_2)	^19/_2	20.0	4.553524				L3974
4f^11(^4I°_13/2)6s7s(^3S_1)	(^13/_2,1)°	^15/_2	16.0	4.554092				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_3/2	(8,^3/_2)	^17/_2	18.0	4.561532				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_1/2	(7,^1/_2)	^15/_2	16.0	4.570151				L3974
4f^11(^4I°_13/2)6s7s(^3S_1)	(^13/_2,1)°	^13/_2	14.0	4.571764				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_3/2	(8,^3/_2)	^13/_2	14.0	4.574483				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_87p_3/2	(8,^3/_2)	^15/_2	16.0	4.582281				L3974
4f^11(^4I°_13/2)6s7s(^3S_1)	(^13/_2,1)°	^11/_2	12.0	4.591098				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^15/_2	16.0	4.627666				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^17/_2	18.0	4.631654				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^17/_2	18.0	4.635612				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^13/_2 or ^15/_2	16.0	4.637522				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^13/_2	14.0	4.637538				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^11/_2	12.0	4.641786				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	(7,^3/_2)	^13/_2 or ^15/_2	16.0	4.647168				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	°	^15/_2	16.0	4.664669				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	°	^15/_2	16.0	4.668217				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	°	^13/_2 or ^15/_2	16.0	4.694757				L3974
4f^11(^4I°_15/2)6s (15/2,1/2)°_77p_3/2	°	^13/_2 or ^15/_2	16.0	4.741732				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2	14.0	4.760644				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2	14.0	4.775101				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2	14.0	4.814078				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2 or ^15/_2	16.0	4.847628				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2 or ^15/_2	16.0	4.856700				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^13/_2	14.0	4.904132				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^15/_2	16.0	4.919268				L3974
4f^11(^4I°_13/2)6s7s(^1S_0)	(^13/_2,0)°	^15/_2	16.0	4.947521				L3974
