spectrum	charge	energy_ev	prefix	suffix	uncertainty_ev	references
Cs I	0	3.89390572743			0.00000000017	L19479
Cs II	1	23.15745			0.00006	L6838
Cs III	2	33.195	[	]	0.004	L14869
Cs IV	3	43.0	(	)	1.7	L8672c99
