spectrum	charge	energy_ev	prefix	suffix	uncertainty_ev	references
C I	0	11.260288			0.0000011	L20057
C II	1	24.383143			0.000012	L22145
C III	2	47.88778			0.00025	L876c191
C IV	3	64.49352			0.00019	L11667
