spectrum	charge	energy_ev	prefix	suffix	uncertainty_ev	references
In I	0	5.7863558			0.0000005	L21649
In II	1	18.87041			0.00003	L18318
In III	2	28.04415			0.00012	L4327
In IV	3	55.45			0.04	L11384
