spectrum	charge	energy_ev	prefix	suffix	uncertainty_ev	references
As I	0	9.78855			0.00025	L1351
As II	1	18.5892			0.0010	L820
As III	2	28.349			0.012	L9358
As IV	3	50.15			0.06	L9358
